year,state,home_ownership
1989,NE,67.2
1990,NE,67.3
1991,NE,67.5
1992,NE,68.4
1993,NE,67.7
1994,NE,68.0
1995,NE,67.1
1996,NE,66.8
1997,NE,66.7
1998,NE,69.9
1999,NE,70.9
2000,NE,70.2
2001,NE,70.1
2002,NE,68.5
2003,NE,69.5
2004,NE,71.2
2005,NE,70.2
2006,NE,67.6
2007,NE,68.2
2008,NE,69.6
2009,NE,70.2
2010,NE,70.4
2011,NE,68.9
2012,NE,69.3
2013,NE,68.2
2014,NE,66.7
2015,NE,68.1
2016,NE,68.0
2017,NE,66.1
2018,NE,66.4
2019,NE,68.2
2020,NE,69.8
2021,NE,68.4
2022,NE,69.0
2023,NE,68.4
1984,PA,71.1
1985,PA,71.6
1986,PA,72.3
1987,PA,71.8
1988,PA,72.1
1989,PA,72.8
1990,PA,73.8
1991,PA,74.0
1992,PA,73.1
1993,PA,72.0
1994,PA,71.8
1995,PA,71.5
1996,PA,71.7
1997,PA,73.3
1998,PA,73.9
1999,PA,75.2
2000,PA,74.7
2001,PA,74.3
2002,PA,74.0
2003,PA,73.7
2004,PA,74.9
2005,PA,73.3
2006,PA,73.2
2007,PA,72.9
2008,PA,72.6
2009,PA,72.2
2010,PA,72.2
2011,PA,71.1
2012,PA,71.0
2013,PA,71.5
2014,PA,69.7
2015,PA,69.6
2016,PA,68.5
2017,PA,68.6
2018,PA,69.9
2019,PA,69.2
2020,PA,69.9
2021,PA,70.2
2022,PA,70.7
2023,PA,71.0
1984,WA,65.7
1985,WA,66.8
1986,WA,65.1
1987,WA,64.4
1988,WA,64.2
1989,WA,64.2
1990,WA,61.8
1991,WA,61.8
1992,WA,62.5
1993,WA,63.1
1994,WA,62.4
1995,WA,61.6
1996,WA,63.1
1997,WA,62.9
1998,WA,64.9
1999,WA,64.8
2000,WA,63.6
2001,WA,66.4
2002,WA,66.9
2003,WA,65.9
2004,WA,66.0
2005,WA,67.6
2006,WA,66.7
2007,WA,66.8
2008,WA,66.2
2009,WA,65.5
2010,WA,64.4
2011,WA,64.2
2012,WA,63.5
2013,WA,62.7
2014,WA,63.6
2015,WA,62.6
2016,WA,61.6
2017,WA,63.6
2018,WA,64.9
2019,WA,63.8
2020,WA,64.1
2021,WA,63.4
2022,WA,66.6
2023,WA,66.3
1984,LA,70.1
1985,LA,70.2
1986,LA,70.4
1987,LA,71.0
1988,LA,68.5
1989,LA,66.3
1990,LA,67.8
1991,LA,68.9
1992,LA,66.7
1993,LA,65.4
1994,LA,65.8
1995,LA,65.3
1996,LA,64.9
1997,LA,66.4
1998,LA,66.6
1999,LA,66.8
2000,LA,68.1
2001,LA,67.1
2002,LA,67.4
2003,LA,67.5
2004,LA,70.6
2005,LA,72.5
2006,LA,71.3
2007,LA,71.5
2008,LA,73.5
2009,LA,71.9
2010,LA,70.4
2011,LA,70.1
2012,LA,68.7
2013,LA,67.8
2014,LA,65.3
2015,LA,63.3
2016,LA,64.2
2017,LA,66.1
2018,LA,65.7
2019,LA,65.6
2020,LA,69.1
2021,LA,68.9
2022,LA,69.6
2023,LA,67.3
1984,GA,63.6
1985,GA,62.7
1986,GA,62.4
1987,GA,63.9
1988,GA,64.8
1989,GA,64.7
1990,GA,64.3
1991,GA,65.7
1992,GA,66.9
1993,GA,66.5
1994,GA,63.4
1995,GA,66.6
1996,GA,69.3
1997,GA,70.9
1998,GA,71.2
1999,GA,71.3
2000,GA,69.8
2001,GA,70.1
2002,GA,71.8
2003,GA,71.4
2004,GA,70.9
2005,GA,67.9
2006,GA,68.5
2007,GA,67.6
2008,GA,68.2
2009,GA,67.4
2010,GA,67.1
2011,GA,66.2
2012,GA,64.3
2013,GA,64.2
2014,GA,62.9
2015,GA,62.9
2016,GA,62.3
2017,GA,62.8
2018,GA,63.8
2019,GA,64.4
2020,GA,67.3
2021,GA,64.0
2022,GA,64.7
2023,GA,65.5
1984,AL,73.7
1985,AL,70.4
1986,AL,70.3
1987,AL,67.9
1988,AL,66.5
1989,AL,67.6
1990,AL,68.4
1991,AL,69.9
1992,AL,70.3
1993,AL,70.2
1994,AL,68.5
1995,AL,70.1
1996,AL,71.0
1997,AL,71.3
1998,AL,72.9
1999,AL,74.8
2000,AL,73.2
2001,AL,73.2
2002,AL,73.7
2003,AL,76.2
2004,AL,78.0
2005,AL,76.6
2006,AL,74.2
2007,AL,73.3
2008,AL,73.0
2009,AL,74.1
2010,AL,73.2
2011,AL,72.9
2012,AL,71.9
2013,AL,72.7
2014,AL,72.1
2015,AL,70.0
2016,AL,69.7
2017,AL,70.0
2018,AL,70.3
2019,AL,70.7
2020,AL,74.8
2021,AL,73.4
2022,AL,72.1
2023,AL,73.8
1984,UT,69.9
1985,UT,71.5
1986,UT,68.0
1987,UT,69.0
1988,UT,70.2
1989,UT,70.4
1990,UT,70.1
1991,UT,70.7
1992,UT,70.0
1993,UT,68.9
1994,UT,69.3
1995,UT,71.5
1996,UT,72.7
1997,UT,72.5
1998,UT,73.7
1999,UT,74.7
2000,UT,72.7
2001,UT,72.4
2002,UT,72.8
2003,UT,73.4
2004,UT,74.9
2005,UT,73.9
2006,UT,73.5
2007,UT,74.9
2008,UT,76.2
2009,UT,74.1
2010,UT,72.5
2011,UT,71.4
2012,UT,71.1
2013,UT,70.9
2014,UT,70.9
2015,UT,69.9
2016,UT,71.3
2017,UT,71.0
2018,UT,72.2
2019,UT,71.9
2020,UT,71.7
2021,UT,68.8
2022,UT,71.2
2023,UT,70.3
1984,OH,67.7
1985,OH,67.9
1986,OH,68.2
1987,OH,68.6
1988,OH,69.6
1989,OH,69.6
1990,OH,68.7
1991,OH,68.7
1992,OH,69.1
1993,OH,68.5
1994,OH,67.4
1995,OH,67.9
1996,OH,69.2
1997,OH,69.0
1998,OH,70.7
1999,OH,70.7
2000,OH,71.3
2001,OH,71.2
2002,OH,72.1
2003,OH,72.8
2004,OH,73.1
2005,OH,73.3
2006,OH,72.1
2007,OH,71.4
2008,OH,70.8
2009,OH,69.7
2010,OH,69.7
2011,OH,68.9
2012,OH,67.9
2013,OH,67.9
